51300018476,gdc,72,51
51300024740,fgb,7,270
51300154828,gec,20,251
51300175343,fba,205,170
51300198218,eff,200,222
51300223429,deg,133,248
51300241526,bbg,258,169
51300242594,dgg,141,68
51300272315,abc,135,157
51300310671,baa,160,287
51300316612,bgb,189,226
51300318908,ebd,142,258
51300411866,cad,234,252
51300431381,dag,127,285
51300447057,cfb,272,216
51300459223,abg,55,186
51300468235,agg,224,114
51300492582,dgg,131,78
51300521580,dac,166,197
51300587984,gbb,249,15
51300616136,egc,41,162
51300637916,bea,185,45
51300648679,gde,130,88
51300653704,ggd,144,257
51300684361,bdb,211,299
51300720689,ddf,272,9
51300731460,fgc,51,237
51300756057,abb,235,170
51300789274,bdc,199,201
51300810191,acc,281,214
51300831312,bed,138,44
51300848895,ccf,33,71
51300884532,gce,228,135
51300892681,fef,180,236
51300898557,gdg,80,272
51301078750,fca,241,178
51301086332,cde,141,173
51301132611,fad,20,148
51301155147,dgb,44,277
51301156024,eef,234,230
51301170515,cae,166,111
51301195632,cae,2,107
51301223667,gge,3,296
51301239547,dcg,65,88
51301247135,ddf,133,8
51301278346,geb,170,217
51301293539,fgd,10,33
51301313874,bgg,19,46
51301345220,fea,260,49
51301372686,cca,91,208
51301461744,ebg,71,37
51301463803,gge,158,337
51301477121,beg,263,47
51301496675,cdf,133,23
51301515564,bda,142,99
51301515938,acg,97,206
51301521544,cbc,242,195
51301549559,fed,27,211
51301564689,acb,297,255
51301610750,ggb,288,62
51301627206,cfe,242,162
51301630525,aag,226,74
51301667757,eff,101,248
51301730035,abf,182,238
51301738123,gga,32,131
51301804568,aeg,104,57
51301837314,eec,204,251
51301857138,caa,161,61
51301873760,dcf,79,225
51301882225,ebd,281,291
51301903617,dce,68,277
51301910662,bad,281,241
51301933630,bab,10,106
51301946239,dea,247,46
51301949324,ccd,296,151
51301977741,cdc,150,181
51302041704,gdd,252,109
51302097502,bgf,123,215
51302112702,dgg,63,88
51302130288,ecg,121,88
51302134387,cbd,67,56
51302150541,cdd,283,113
51302161462,cae,201,119
51302162877,afa,173,88
51302186062,cac,72,146
51302207744,fda,214,208
51302208629,ddd,118,108
51302217116,gbg,164,214
51302229478,bcc,125,165
51302238511,cdc,91,157
51302242994,bcc,24,174
51302246718,aad,107,90
51302270194,fbb,112,219
51302295399,gbb,274,13
51302320927,ceb,218,262
51302334899,caf,65,241
51302338269,geg,43,130
51302352326,dad,122,114
51302418113,edg,236,216
51302432133,feb,257,220
51302461544,agc,71,226
51302481445,ffb,180,130
51302511390,dcd,244,234
51302591840,fgg,210,216
51302629656,fab,46,69
51302643786,efd,169,291
51302658326,cbg,39,66
51302703422,fcb,150,299
51302717117,fcd,102,271
51302784799,fgf,92,298
51302795668,fcf,147,15
51302812369,adf,213,276
51302825679,ace,74,273
51302917248,bdg,58,113
51302921495,ggb,33,62
51302925463,cge,12,147
51302926047,deb,177,76
51302930876,afc,276,26
51302943121,cee,258,213
51302988324,dag,45,276
51303000783,gda,93,171
51303002474,ddb,142,269
51303055396,cfe,150,166
51303072034,bfg,228,111
51303153693,bge,10,96
51303194888,dag,191,267
51303195764,gfb,48,11
51303243117,fdd,28,97
51303250040,cec,23,167
51303264426,ceb,87,259
51303268074,gdd,207,105
51303269777,gfc,249,110
51303289093,dae,197,296
51303295141,ebb,235,6
51303295219,bgb,159,232
51303322940,bag,96,18
51303326801,cca,115,195
51303327552,gbc,74,172
51303338623,fde,291,273
51303354557,bef,199,229
51303419460,fec,130,34
51303472592,fdc,238,184
51303493984,fec,104,35
51303499068,beg,137,43
51303521733,gaa,238,120
51303539992,acf,54,252
51303543927,dag,19,240
51303548807,dfd,268,173
51303550958,baf,1,51
51303560715,fcb,142,334
51303593147,eae,69,267
51303599937,ccd,246,175
51303601870,cec,192,133
51303620617,fga,184,54
51303622490,gac,164,76
51303647045,geb,272,230
51303651988,gbd,87,183
51303689158,acg,11,185
51303716513,gdc,82,45
51303740876,eae,296,267
51303774891,afg,164,75
51303795239,fbf,194,142
